method,translation_error_mm,rotation_error_deg,mean_target_error_mm,max_target_error_mm,mean_target_rotation_error_deg,max_target_rotation_error_deg
DANIILIDIS,6.128265163612873e-14,2.3825487154997965e-14,2.0900026167164677e-13,3.2368285245694687e-13,2.3933826595085748e-14,2.7520497255871586e-14
HORAUD,9.126689985681992e-14,1.6333402143096918e-14,2.0600453962419388e-13,3.402181501003038e-13,1.680815243461487e-14,2.093324139007299e-14
PARK,1.2456232622454377e-13,1.6027337218908237e-14,3.239265500912465e-13,5.721958498152797e-13,1.7332856774008103e-14,2.2307637194232052e-14
ANDREFF,1.3092278833360674e-13,8.731811237274626e-15,1.9610753087358256e-13,3.608224830031759e-13,8.574500521508363e-15,1.2381113139505495e-14
TSAI,1.8686764648855367e-13,1.4635561620655183e-14,2.46666473653907e-13,3.6506759942727967e-13,1.6611756368183136e-14,2.0871757650263114e-14
