scenario,method,source,trials,grasp_point_error_mm_mean,grasp_point_error_mm_p95,surface_point_rmse_mm_mean,approach_normal_error_deg_mean,precision_action_success_rate,standard_action_success_rate,calibration_runtime_ms_mean
gaussian,JOINT_HUBER,FUSED_MEDIAN,5,0.7646097477652449,1.427255600644951,0.7815497173479824,0.0480426297668297,0.9888888888888889,1.0,427.48473859974183
gaussian,PARK,FUSED_MEDIAN,5,0.7265215734266077,1.4313450491618744,0.7423646111921105,0.04603806688321156,0.9888888888888889,1.0,14.12589819956338
gaussian,JOINT_HUBER,forearm_camera,5,1.1873179399922889,2.7321766152431692,1.2071145042886764,0.07775319444750611,0.8833333333333333,1.0,427.48473859974183
gaussian,PARK,forearm_camera,5,1.134818490337677,2.8476794853117653,1.152451158423481,0.0704359763845387,0.8833333333333333,1.0,14.12589819956338
gaussian,JOINT_HUBER,upper_arm_camera,5,1.1724513376168586,2.4919915911787043,1.1914175238090055,0.07521102824159986,0.8833333333333333,1.0,427.48473859974183
gaussian,PARK,upper_arm_camera,5,1.0961873273057225,2.377425337441967,1.1137540245069444,0.0643390517909422,0.8833333333333333,1.0,14.12589819956338
gaussian,JOINT_HUBER,wrist_camera,5,1.3670659496246467,3.2878636687649623,1.3904001917917377,0.08055350997528396,0.7944444444444444,1.0,427.48473859974183
gaussian,PARK,wrist_camera,5,1.3504028212330503,3.2160683057934163,1.37460783994146,0.08123499126882247,0.8166666666666667,1.0,14.12589819956338
outliers,JOINT_HUBER,FUSED_MEDIAN,5,0.8817236823714946,1.9396370094456101,0.8962230346994111,0.046779589273396906,0.9611111111111111,1.0,472.85349980011233
outliers,PARK,FUSED_MEDIAN,5,2.1860672379138686,3.982617018907095,2.2224792183474142,0.09150329871204566,0.45555555555555555,0.9833333333333333,14.024791600604658
outliers,JOINT_HUBER,forearm_camera,5,1.2556364168668135,2.964028621204703,1.2753737825823102,0.07066676494031096,0.8444444444444444,1.0,472.85349980011233
outliers,PARK,forearm_camera,5,3.3371666034813035,5.826232955587857,3.377571313102486,0.18444972028537437,0.14444444444444443,0.8888888888888888,14.024791600604658
outliers,JOINT_HUBER,upper_arm_camera,5,1.3299910452889105,2.6392364042866654,1.3490868828118956,0.07923059853199596,0.8555555555555555,1.0,472.85349980011233
outliers,PARK,upper_arm_camera,5,3.905073412476177,6.968365444568618,3.960661155747708,0.20234707507555064,0.22777777777777777,0.6388888888888888,14.024791600604658
outliers,JOINT_HUBER,wrist_camera,5,1.5087162396740694,3.5087718464306885,1.5308736084195487,0.09301044062010999,0.7888888888888889,0.9944444444444445,472.85349980011233
outliers,PARK,wrist_camera,5,3.3762279888809164,6.002524881830948,3.4039548237392885,0.1464984018139782,0.22777777777777777,0.8,14.024791600604658
time_offset,PARK_ZERO_OFFSET,FUSED_MEDIAN,5,19.783088433464545,49.51376259279757,20.870320790009636,3.1322302114953846,0.0,0.0,10.02035780074948
time_offset,TIME_AWARE_PARK,FUSED_MEDIAN,5,2.80249278144102,6.1931021995491236,2.9286025190463545,0.42144656695093474,0.37222222222222223,0.9,2664.6274873994116
time_offset,PARK_ZERO_OFFSET,forearm_camera,5,67.37537964170379,122.03220960900046,69.07722475074135,5.9007344182341,0.0,0.0,10.02035780074948
time_offset,TIME_AWARE_PARK,forearm_camera,5,6.819651498014648,12.595497774783254,6.991047183244953,0.5872055716066298,0.011111111111111112,0.31666666666666665,2664.6274873994116
time_offset,PARK_ZERO_OFFSET,upper_arm_camera,5,23.90640455075255,47.83151074659709,24.460878896890357,2.11572911126664,0.0,0.05555555555555555,10.02035780074948
time_offset,TIME_AWARE_PARK,upper_arm_camera,5,3.4416978459475787,6.787206245901349,3.522113622278054,0.29827143250902327,0.3277777777777778,0.7055555555555556,2664.6274873994116
time_offset,PARK_ZERO_OFFSET,wrist_camera,5,151.22028249227162,298.6816283051972,153.72679466045489,9.952127815182772,0.0,0.0,10.02035780074948
time_offset,TIME_AWARE_PARK,wrist_camera,5,19.881418820628905,39.12877703996288,20.209300899017794,1.298131529080833,0.0,0.027777777777777776,2664.6274873994116
