scenario,trial,num_poses,base_translation_sigma_mm,base_rotation_sigma_deg,success,runtime_ms,nfev,cost,method,camera_name,link_name,translation_error_mm,rotation_error_deg,mean_target_error_mm,max_target_error_mm,mean_target_rotation_error_deg,mean_cross_camera_target_disagreement_mm,max_cross_camera_target_disagreement_mm
gaussian,0,30,0.5,0.25,True,13.713424999878043,0,0.0,PARK,upper_arm_camera,upper_arm,0.1863507317044616,0.04685838097897197,0.4689821245453701,0.7190757011106311,0.04685838097897145,0.8011011801678621,1.5401153111885741
gaussian,0,30,0.5,0.25,True,13.713424999878043,0,0.0,PARK,forearm_camera,forearm,0.22487378178336848,0.0627125257800715,0.7156426713064984,0.9494907335732857,0.06271252578007132,0.8011011801678621,1.5401153111885741
gaussian,0,30,0.5,0.25,True,13.713424999878043,0,0.0,PARK,wrist_camera,gripper,0.1992673879618847,0.030163004650412224,0.4406302452290372,0.7668153868422953,0.030163004650411707,0.8011011801678621,1.5401153111885741
gaussian,0,30,0.5,0.25,True,21.68785100002424,4,2266.742149096385,JOINT_LINEAR,upper_arm_camera,upper_arm,0.5794782275730582,0.0754953224094771,1.1411097652731517,1.252716582862656,0.07549532240947682,1.02864406617839,1.9930688748455694
gaussian,0,30,0.5,0.25,True,21.68785100002424,4,2266.742149096385,JOINT_LINEAR,forearm_camera,forearm,0.7061691530668841,0.0399802230718966,0.8283315890964985,0.9705720111620485,0.039980223071896505,1.02864406617839,1.9930688748455694
gaussian,0,30,0.5,0.25,True,21.68785100002424,4,2266.742149096385,JOINT_LINEAR,wrist_camera,gripper,0.22784300608760918,0.04502902307672767,0.5457278719703552,0.8599705261002437,0.045029023076727834,1.02864406617839,1.9930688748455694
gaussian,0,30,0.5,0.25,True,438.16910199984704,105,630.6651359366267,JOINT_HUBER,upper_arm_camera,upper_arm,0.3225381996146219,0.07827342929223986,0.9353729335394848,1.194529345680601,0.07827342929223934,0.8501086459967961,1.618342317809055
gaussian,0,30,0.5,0.25,True,438.16910199984704,105,630.6651359366267,JOINT_HUBER,forearm_camera,forearm,0.43265101807182166,0.017824258327849406,0.4027783101894213,0.6247325424442526,0.01782425832784946,0.8501086459967961,1.618342317809055
gaussian,0,30,0.5,0.25,True,438.16910199984704,105,630.6651359366267,JOINT_HUBER,wrist_camera,gripper,0.36573235360678197,0.026644846528067794,0.4815194668844209,0.8096376138520222,0.026644846528068096,0.8501086459967961,1.618342317809055
gaussian,1,30,0.5,0.25,True,13.625747999867599,0,0.0,PARK,upper_arm_camera,upper_arm,0.15590425971404998,0.04461173934443291,0.602132649225362,0.8581622031354733,0.04461173934443261,0.5942997746135859,1.484146918109195
gaussian,1,30,0.5,0.25,True,13.625747999867599,0,0.0,PARK,forearm_camera,forearm,0.24022856721686398,0.016203375503716446,0.3207350581990332,0.4037226045860396,0.016203375503715856,0.5942997746135859,1.484146918109195
gaussian,1,30,0.5,0.25,True,13.625747999867599,0,0.0,PARK,wrist_camera,gripper,0.2495467598052649,0.039441351072233864,0.5916710888125873,1.0320854698830602,0.03944135107223433,0.5942997746135859,1.484146918109195
gaussian,1,30,0.5,0.25,True,20.379448999847227,4,1596.306271325428,JOINT_LINEAR,upper_arm_camera,upper_arm,0.180181506433543,0.05560632240338692,0.7591639992237166,0.9607476450750149,0.05560632240338717,0.849420020290595,2.0208916953301714
gaussian,1,30,0.5,0.25,True,20.379448999847227,4,1596.306271325428,JOINT_LINEAR,forearm_camera,forearm,0.5960177319885557,0.0204353020627139,0.6435525570908757,0.9684490595227973,0.02043530206271429,0.849420020290595,2.0208916953301714
gaussian,1,30,0.5,0.25,True,20.379448999847227,4,1596.306271325428,JOINT_LINEAR,wrist_camera,gripper,0.5811495267898866,0.039438837999627746,0.80707147337563,1.3248181834988821,0.039438837999629245,0.849420020290595,2.0208916953301714
gaussian,1,30,0.5,0.25,True,413.1414359999326,99,517.9700526661063,JOINT_HUBER,upper_arm_camera,upper_arm,0.3619981334336272,0.05951107375522631,0.7646226469860404,1.0439143819606125,0.05951107375522623,0.9567677470823376,1.904904652142269
gaussian,1,30,0.5,0.25,True,413.1414359999326,99,517.9700526661063,JOINT_HUBER,forearm_camera,forearm,0.34439180131793756,0.010814470684913632,0.3288705713818836,0.41441003381956726,0.010814470684912791,0.9567677470823376,1.904904652142269
gaussian,1,30,0.5,0.25,True,413.1414359999326,99,517.9700526661063,JOINT_HUBER,wrist_camera,gripper,0.19388035222848618,0.057626880333867266,0.9107954183639304,1.3073455587928593,0.05762688033386799,0.9567677470823376,1.904904652142269
gaussian,2,30,0.5,0.25,True,13.651203999870631,0,0.0,PARK,upper_arm_camera,upper_arm,0.2325645196110759,0.024257619815835397,0.31817119274904376,0.5261227917368636,0.024257619815835667,0.5836071220163949,1.3130060425805599
gaussian,2,30,0.5,0.25,True,13.651203999870631,0,0.0,PARK,forearm_camera,forearm,0.18107514646219217,0.04991438779776519,0.4627583771271161,0.7763482640024026,0.04991438779776614,0.5836071220163949,1.3130060425805599
gaussian,2,30,0.5,0.25,True,13.651203999870631,0,0.0,PARK,wrist_camera,gripper,0.1684954984158294,0.0397920127478281,0.4908042778223054,0.9517328440140972,0.03979201274782876,0.5836071220163949,1.3130060425805599
gaussian,2,30,0.5,0.25,True,20.684882999375986,4,1629.5528616562153,JOINT_LINEAR,upper_arm_camera,upper_arm,0.5079453783976825,0.07059074079427921,0.88609271658024,1.2708759150123192,0.07059074079427938,1.2979328259726142,3.0648923998183806
gaussian,2,30,0.5,0.25,True,20.684882999375986,4,1629.5528616562153,JOINT_LINEAR,forearm_camera,forearm,0.9608965197270949,0.05485002591661134,1.0104243506103268,1.7737004796429836,0.054850025916611214,1.2979328259726142,3.0648923998183806
gaussian,2,30,0.5,0.25,True,20.684882999375986,4,1629.5528616562153,JOINT_LINEAR,wrist_camera,gripper,0.37019780916375983,0.09311844305720796,1.0508923730166908,1.8073154455703482,0.09311844305720815,1.2979328259726142,3.0648923998183806
gaussian,2,30,0.5,0.25,True,380.2639089999502,90,533.717514303871,JOINT_HUBER,upper_arm_camera,upper_arm,0.2544610387141517,0.04727317602402949,0.6215199235287474,0.810289317426118,0.04727317602402903,0.7515998791677352,1.6267237296565953
gaussian,2,30,0.5,0.25,True,380.2639089999502,90,533.717514303871,JOINT_HUBER,forearm_camera,forearm,0.5468488061952682,0.05674867623771451,0.8099469586760819,1.3234927709266637,0.05674867623771483,0.7515998791677352,1.6267237296565953
gaussian,2,30,0.5,0.25,True,380.2639089999502,90,533.717514303871,JOINT_HUBER,wrist_camera,gripper,0.39061591208523183,0.020288733739325666,0.39624065172452433,0.552310867023765,0.020288733739326072,0.7515998791677352,1.6267237296565953
gaussian,3,30,0.5,0.25,True,13.480526999956055,0,0.0,PARK,upper_arm_camera,upper_arm,0.14323264291105722,0.04416788381474092,0.5892372818095024,0.8415036788192467,0.0441678838147417,0.9754801632686924,2.1393915409308875
gaussian,3,30,0.5,0.25,True,13.480526999956055,0,0.0,PARK,forearm_camera,forearm,0.11782387531230568,0.043003367758319866,0.5323367437328935,0.784320625204196,0.04300336775832034,0.9754801632686924,2.1393915409308875
gaussian,3,30,0.5,0.25,True,13.480526999956055,0,0.0,PARK,wrist_camera,gripper,0.30970091586178605,0.06379090838385505,0.8579621855889789,1.5688987401645647,0.06379090838385511,0.9754801632686924,2.1393915409308875
gaussian,3,30,0.5,0.25,True,20.784533000551164,4,2005.1845445807628,JOINT_LINEAR,upper_arm_camera,upper_arm,0.5728349683356634,0.05537638378673259,0.7324207819513195,1.0909623152128034,0.05537638378673141,1.2472496422099149,2.7228142577719283
gaussian,3,30,0.5,0.25,True,20.784533000551164,4,2005.1845445807628,JOINT_LINEAR,forearm_camera,forearm,0.3011256247337952,0.045531586535464436,0.5563285989002565,1.0518167259799243,0.04553158653546497,1.2472496422099149,2.7228142577719283
gaussian,3,30,0.5,0.25,True,20.784533000551164,4,2005.1845445807628,JOINT_LINEAR,wrist_camera,gripper,0.22233781587759158,0.09554300882197955,1.1432117292782167,1.9761048275578368,0.0955430088219792,1.2472496422099149,2.7228142577719283
gaussian,3,30,0.5,0.25,True,326.6951310006334,77,609.8856382333662,JOINT_HUBER,upper_arm_camera,upper_arm,0.4167011968347657,0.025291461096692624,0.47152222261895843,0.7013317401174751,0.025291461096692457,0.9274324299770883,1.800062326187674
gaussian,3,30,0.5,0.25,True,326.6951310006334,77,609.8856382333662,JOINT_HUBER,forearm_camera,forearm,0.3610156072888261,0.060625212424506005,0.6759937468077346,1.258174526026933,0.06062521242450583,0.9274324299770883,1.800062326187674
gaussian,3,30,0.5,0.25,True,326.6951310006334,77,609.8856382333662,JOINT_HUBER,wrist_camera,gripper,0.038209548384401944,0.055936805002133064,0.7357138251041057,1.2430449957881675,0.055936805002133855,0.9274324299770883,1.800062326187674
gaussian,4,30,0.5,0.25,True,13.778857000033895,0,0.0,PARK,upper_arm_camera,upper_arm,0.1684819456169737,0.05022309141922579,0.6426656970317846,0.8014721444598832,0.05022309141922566,0.8731770621710045,1.6081059678400855
