scenario,trial,calibration_runtime_ms,method,source,time_index,grasp_point_error_mm,surface_point_rmse_mm,max_surface_point_error_mm,approach_normal_error_deg,precision_action_success,standard_action_success
gaussian,0,14.134982999166823,PARK,upper_arm_camera,0,1.1738027988441193,1.176504864215907,1.2568021894450767,0.036529075797468565,True,True
gaussian,0,14.134982999166823,PARK,forearm_camera,0,0.4989226222338975,0.5003196427047499,0.5093136238240052,0.021607918519904304,True,True
gaussian,0,14.134982999166823,PARK,wrist_camera,0,0.5896587149381378,0.6281100798125872,0.8458258153168506,0.028672313583744297,True,True
gaussian,0,14.134982999166823,PARK,FUSED_MEDIAN,0,0.3686130500010456,0.3715615993041035,0.4380470836264564,0.0046712502937813994,True,True
gaussian,0,14.134982999166823,PARK,upper_arm_camera,1,0.7004978033787019,0.7176976070767341,0.8907514599628361,0.04599170260954383,True,True
gaussian,0,14.134982999166823,PARK,forearm_camera,1,0.8103502791855377,0.8179014449026462,0.8872778037422965,0.05352214595581052,True,True
gaussian,0,14.134982999166823,PARK,wrist_camera,1,4.091458067616203,4.112413364445166,4.667541686485342,0.15823599141493533,False,True
gaussian,0,14.134982999166823,PARK,FUSED_MEDIAN,1,0.6864841717513714,0.6710873102622442,0.7678305005934923,0.05971332205980302,True,True
gaussian,0,14.134982999166823,PARK,upper_arm_camera,2,0.6834117287558867,0.6842558254894795,0.7208374353786333,0.016832941489317035,True,True
gaussian,0,14.134982999166823,PARK,forearm_camera,2,0.4712585575537361,0.496209020488149,0.574636834779161,0.07192104933410626,True,True
gaussian,0,14.134982999166823,PARK,wrist_camera,2,0.7652072001097372,0.7861145225857166,0.9689174455782504,0.02617249092670138,True,True
gaussian,0,14.134982999166823,PARK,FUSED_MEDIAN,2,0.37241031387664636,0.42154305135660136,0.5128622391809923,0.03292217346640479,True,True
gaussian,0,14.134982999166823,PARK,upper_arm_camera,3,0.2363401541909489,0.2564331327795468,0.31269395183279913,0.031064247176850284,True,True
gaussian,0,14.134982999166823,PARK,forearm_camera,3,0.7799648409389809,0.7814036321592638,0.8474363417186604,0.022281459562986876,True,True
gaussian,0,14.134982999166823,PARK,wrist_camera,3,1.0574332056709441,1.061929114059397,1.1838221409017047,0.05894398443512927,True,True
gaussian,0,14.134982999166823,PARK,FUSED_MEDIAN,3,0.18652711470943248,0.19971644445746006,0.28160222202850693,0.02836166308980044,True,True
gaussian,0,14.134982999166823,PARK,upper_arm_camera,4,0.6328494108023437,0.6378484247062355,0.7008710691141972,0.036405937106682495,True,True
gaussian,0,14.134982999166823,PARK,forearm_camera,4,1.1895353437482037,1.2168305144772316,1.5294866852702085,0.0831437175264149,True,True
gaussian,0,14.134982999166823,PARK,wrist_camera,4,1.1500912795908307,1.191719894365236,1.2667842266721796,0.1493954423718415,True,True
gaussian,0,14.134982999166823,PARK,FUSED_MEDIAN,4,0.8126081011162252,0.8270939235538424,1.016905814381314,0.08882330367747344,True,True
gaussian,0,14.134982999166823,PARK,upper_arm_camera,5,0.8656471005067417,0.8670602230508827,0.9127428672824867,0.02183082406563985,True,True
gaussian,0,14.134982999166823,PARK,forearm_camera,5,0.789307851558273,0.8067930476895508,0.9692662830490167,0.03741627469675187,True,True
gaussian,0,14.134982999166823,PARK,wrist_camera,5,1.3963006814453558,1.4076338171410252,1.5490297958569401,0.08937753419565252,True,True
gaussian,0,14.134982999166823,PARK,FUSED_MEDIAN,5,0.8188611191531519,0.8108856397782928,0.884110288571806,0.04601170737036357,True,True
gaussian,0,14.134982999166823,PARK,upper_arm_camera,6,1.897807573650419,1.940031589143512,2.337601704240521,0.09263261490628787,True,True
gaussian,0,14.134982999166823,PARK,forearm_camera,6,0.6087529795085316,0.6119514008795206,0.674516269661745,0.006929051815649122,True,True
gaussian,0,14.134982999166823,PARK,wrist_camera,6,1.234212953441936,1.2610536494696398,1.5156224783338548,0.03888538336032996,True,True
gaussian,0,14.134982999166823,PARK,FUSED_MEDIAN,6,0.5163684817725049,0.5442314877331599,0.720562794297467,0.04192878471764885,True,True
gaussian,0,14.134982999166823,PARK,upper_arm_camera,7,0.8098932427361897,0.8118369807823773,0.8761068047180464,0.011712994294653403,True,True
gaussian,0,14.134982999166823,PARK,forearm_camera,7,2.2120681307739885,2.2268412593643374,2.599730988060743,0.13402186088490686,False,True
gaussian,0,14.134982999166823,PARK,wrist_camera,7,0.6600254427379045,0.6627925944517684,0.7040615133003592,0.039399903471175855,True,True
gaussian,0,14.134982999166823,PARK,FUSED_MEDIAN,7,0.6725488541295441,0.6735077684549209,0.6965666675085456,0.030263485238741977,True,True
gaussian,0,14.134982999166823,PARK,upper_arm_camera,8,0.7190261478945641,0.720357314368065,0.7726267798713291,0.011178777134845524,True,True
gaussian,0,14.134982999166823,PARK,forearm_camera,8,0.6662498199632745,0.6671506371001392,0.6951345561069824,0.006122078457356438,True,True
gaussian,0,14.134982999166823,PARK,wrist_camera,8,4.237984323417123,4.268006604054293,4.94475315519318,0.22293448639561642,False,True
gaussian,0,14.134982999166823,PARK,FUSED_MEDIAN,8,0.2813685088935871,0.39966521573585123,0.4949420508126854,0.07560477581910079,True,True
gaussian,0,14.134982999166823,PARK,upper_arm_camera,9,1.0615820916224308,1.0637161755302103,1.1255044037486752,0.030679079898477245,True,True
