scenario,time_index,camera_name,translation_residual_mm,rotation_residual_deg,cross_camera_residual_mm,isolation_translation_mm,isolation_rotation_deg,translation_z,rotation_z,cross_camera_z,isolation_translation_z,isolation_rotation_z,health_score,isolation_score,state
none,0,upper_arm_camera,0.7458061053482681,0.04256841613062424,1.1735320302941417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASELINE
none,0,forearm_camera,1.8714899177321078,0.1328269702340532,1.5612639715228456,0.43503418787335213,0.09748781913428474,2.3903494909958085,1.4335455756805338,0.3228641164568113,5.437927348416902,6.4991879422856496,2.805898224161488,8.474107490220527,BASELINE
none,0,wrist_camera,1.0387621623350167,0.022241550628018976,1.5139617248781976,0.2931274479394079,0.0,0.0,0.0,0.030290062632301426,0.33483195257574805,0.0,0.030290062632301426,0.33483195257574805,BASELINE
none,1,upper_arm_camera,1.1177993680177314,0.07112777993658706,0.8365414144729096,0.0,0.0,0.40790933893126263,0.0,0.0,0.0,0.0,0.40790933893126263,0.0,BASELINE
none,1,forearm_camera,0.36944606111869444,0.04278750441480004,1.2354723350247911,0.7619521108862781,0.0,0.0,0.0,0.0,9.524401386078477,0.0,0.0,9.524401386078477,BASELINE
none,1,wrist_camera,1.2717951576417756,0.0781007196009506,0.8724511446903944,0.0,0.07167674389208883,0.23386265318418922,0.0,0.0,0.0,0.885990316891547,0.23386265318418922,0.885990316891547,BASELINE
none,2,upper_arm_camera,1.2697729368142439,0.13256747829374432,3.1916881712594734,0.0,0.021275881703167604,0.7382418526529009,0.9900406252881387,1.557489432259657,0.0,1.2081141339970378,1.9877008840189776,1.2081141339970378,BASELINE
none,2,forearm_camera,0.7368681784359598,0.06138108402280818,2.5425427253127193,0.0,0.0,0.0,0.0,2.179737138948624,0.0,0.0,2.179737138948624,0.0,BASELINE
none,2,wrist_camera,3.946684855713376,0.20930213576385798,4.41475922330926,3.095287550046327,0.10471470080434198,3.218257728622447,2.0039534962503103,3.935127778312843,9.983480872168084,1.6052627581879124,5.464269672574856,10.111713942145073,BASELINE
none,3,upper_arm_camera,0.770444508584994,0.05455139843390902,0.5381859040399168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASELINE
