motion_regime,quality,method,trials,successful_trials,catastrophic_trials,translation_error_mm_median,translation_error_mm_mean,rotation_error_deg_median,rotation_error_deg_mean,runtime_ms_mean,max_relative_rotation_deg,translation_baseline_mm,rotation_axis_diversity_ratio,rotation_design_rank,failure_rate,catastrophic_rate
diverse,GOOD,ANDREFF,10,10,0,0.2793370250797317,0.2880153174476587,0.056926523805526805,0.06008548061995689,10.69628589984859,167.31659405514404,821.5195307567244,0.5750407751922181,8,0.0,0.0
diverse,GOOD,DANIILIDIS,10,10,0,0.23976816708738297,0.3103250294361677,0.07137888604542153,0.0772932869866216,10.259699499965791,167.31659405514404,821.5195307567244,0.5750407751922181,8,0.0,0.0
diverse,GOOD,HORAUD,10,10,0,0.2598395451296572,0.25112083114185946,0.05857609041303931,0.06128758883921844,9.662832400044863,167.31659405514404,821.5195307567244,0.5750407751922181,8,0.0,0.0
diverse,GOOD,PARK,10,10,0,0.26151527828779186,0.2517352244241022,0.06046764227114393,0.06352603358345632,10.074192699994455,167.31659405514404,821.5195307567244,0.5750407751922181,8,0.0,0.0
diverse,GOOD,TSAI,10,10,0,0.2464732862234768,0.2430081853007398,0.05352740269264457,0.06024090674751481,9.458553600052255,167.31659405514404,821.5195307567244,0.5750407751922181,8,0.0,0.0
single_axis,POOR,ANDREFF,10,10,10,110.0001036990045,110.0001462372391,0.0530052965163269,0.06003799653598581,10.669775400219805,168.18871279548517,816.7314550997046,0.0,6,0.0,1.0
single_axis,POOR,DANIILIDIS,10,10,10,9342.889281063091,18058.31970570425,1.31660811438833,1.991001713552638,9.792678000212618,168.18871279548517,816.7314550997046,0.0,6,0.0,1.0
single_axis,POOR,HORAUD,10,10,10,131.55255665625378,144.49986559125608,94.08400102992346,99.92629488141964,9.251855600086856,168.18871279548517,816.7314550997046,0.0,6,0.0,1.0
single_axis,POOR,PARK,10,0,0,,,,,2.5541687999975693,168.18871279548517,816.7314550997046,0.0,6,1.0,0.0
single_axis,POOR,TSAI,10,10,10,114.43512937505301,117.43227419435352,27.513273408866883,27.40551916046102,9.058690500023658,168.18871279548517,816.7314550997046,0.0,6,0.0,1.0
small_rotation,POOR,ANDREFF,10,10,10,17.768535140420944,21.48189892628268,0.9852769518666968,0.8474816233720738,11.803645600048185,2.8743396315468104,137.56997437506624,0.5608175544782481,8,0.0,1.0
small_rotation,POOR,DANIILIDIS,10,10,8,13.625028614873532,14.458941273664028,0.516606150821073,0.49619499861144745,10.945331399670977,2.8743396315468104,137.56997437506624,0.5608175544782481,8,0.0,0.8
small_rotation,POOR,HORAUD,10,10,8,27.970154078158313,25.69535694295365,3.410677008318821,3.3064847984312538,10.193322599934618,2.8743396315468104,137.56997437506624,0.5608175544782481,8,0.0,0.8
small_rotation,POOR,PARK,10,10,8,27.970497940966766,25.695910160157673,3.410730647889522,3.3065217613929483,11.050222399990162,2.8743396315468104,137.56997437506624,0.5608175544782481,8,0.0,0.8
small_rotation,POOR,TSAI,10,10,10,127.76932339180638,127.7693233918064,34.33164367138613,34.33164367138613,9.460216800107446,2.8743396315468104,137.56997437506624,0.5608175544782481,8,0.0,1.0
translation_only,POOR,ANDREFF,10,10,10,127.76932339180638,127.7693233918064,0.0690671332375962,0.06590656182966417,11.0943108002175,0.0,808.633787483575,0.0,0,0.0,1.0
translation_only,POOR,DANIILIDIS,10,7,7,35082.05610110853,42740.168308228625,2.1114463557106946,2.5537743008941947,8.007277499837073,0.0,808.633787483575,0.0,0,0.30000000000000004,0.7
translation_only,POOR,HORAUD,10,10,10,127.76932339180638,127.7693233918064,153.57443673374297,155.76841908136282,9.773418000168022,0.0,808.633787483575,0.0,0,0.0,1.0
translation_only,POOR,PARK,10,0,0,,,,,2.6121249001334945,0.0,808.633787483575,0.0,0,1.0,0.0
translation_only,POOR,TSAI,10,10,10,127.76932339180638,127.7693233918064,34.33164367138613,34.33164367138613,9.629601500091667,0.0,808.633787483575,0.0,0,0.0,1.0
