scenario,method,camera_name,link_name,trials,success_rate,translation_error_mm_mean,translation_error_mm_std,rotation_error_deg_mean,rotation_error_deg_std,mean_target_error_mm_mean,mean_cross_camera_target_disagreement_mm,runtime_ms_mean,nfev_mean
gaussian,JOINT_HUBER,forearm_camera,forearm,10,1.0,0.42830204188499615,0.18554322472191392,0.04207951143054791,0.01940954459867825,0.6227050532619061,0.9312297776707356,382.4858659999336,90.4
gaussian,JOINT_LINEAR,forearm_camera,forearm,10,1.0,0.5695480585673429,0.2603010384210791,0.05707791861721273,0.022061681384922174,0.8567905969564185,1.1256818922079133,20.888702499996725,4.0
gaussian,PARK,forearm_camera,forearm,10,1.0,0.22904975832789076,0.07987463477355562,0.043559326671528634,0.018689584807642504,0.5354079189147962,0.8177875967215117,13.690958399820374,0.0
gaussian,JOINT_HUBER,upper_arm_camera,upper_arm,10,1.0,0.36398238733220195,0.16570611119825343,0.04683942140293645,0.020119238795362183,0.6264228768892256,0.9312297776707356,382.4858659999336,90.4
gaussian,JOINT_LINEAR,upper_arm_camera,upper_arm,10,1.0,0.4953212382409934,0.29490378312680593,0.06005588767126344,0.012939781647007178,0.7943561232583207,1.1256818922079133,20.888702499996725,4.0
gaussian,PARK,upper_arm_camera,upper_arm,10,1.0,0.16740595080240706,0.05978171025983408,0.04656342143088597,0.02121426067931342,0.5840921714281704,0.8177875967215117,13.690958399820374,0.0
gaussian,JOINT_HUBER,wrist_camera,gripper,10,1.0,0.31631873244890735,0.17336885992122744,0.050780431277995655,0.03409397474597652,0.6967122670776524,0.9312297776707356,382.4858659999336,90.4
gaussian,JOINT_LINEAR,wrist_camera,gripper,10,1.0,0.4360062381833557,0.16164392241817346,0.0582047296813222,0.0336331137653005,0.8028271485922147,1.1256818922079133,20.888702499996725,4.0
gaussian,PARK,wrist_camera,gripper,10,1.0,0.21468121557854838,0.08236735832103675,0.038591778207768754,0.019252499439602007,0.5618801174524957,0.8177875967215117,13.690958399820374,0.0
outliers,JOINT_HUBER,forearm_camera,forearm,10,1.0,0.4388369540427529,0.14461271486609567,0.0396932528141391,0.017650656475577887,0.5970092868036229,1.093886638378342,481.6052187998139,114.1
outliers,JOINT_LINEAR,forearm_camera,forearm,10,1.0,3.0500412432365094,3.099053163583574,0.315378263924468,0.35804989825030525,4.749181630554614,8.26785210934689,24.681973599945195,4.7
outliers,PARK,forearm_camera,forearm,10,1.0,1.450547317612822,0.9486977642320171,0.19669873520100448,0.20377931145361836,2.6668924224664794,5.458800901004368,13.68260029985322,0.0
outliers,JOINT_HUBER,upper_arm_camera,upper_arm,10,1.0,0.5825594486557364,0.34375863048117616,0.05224568900182204,0.019894821078472593,0.7645436870038814,1.093886638378342,481.6052187998139,114.1
outliers,JOINT_LINEAR,upper_arm_camera,upper_arm,10,1.0,4.213814313645267,2.1767078794969,0.34260810156283966,0.29964448187025966,5.276132786570228,8.26785210934689,24.681973599945195,4.7
outliers,PARK,upper_arm_camera,upper_arm,10,1.0,2.6050689094151194,1.3719229501412684,0.2626446164816255,0.23513638956266228,3.868480612589503,5.458800901004368,13.68260029985322,0.0
outliers,JOINT_HUBER,wrist_camera,gripper,10,1.0,0.6962980429876983,0.2886120551023324,0.05486656374453661,0.017831455919694626,0.943502135347303,1.093886638378342,481.6052187998139,114.1
outliers,JOINT_LINEAR,wrist_camera,gripper,10,1.0,4.57255118113316,3.086460692147433,0.4512074584939694,0.2764429484417317,6.163196273499216,8.26785210934689,24.681973599945195,4.7
outliers,PARK,wrist_camera,gripper,10,1.0,2.1862985829822454,1.5056972855652504,0.22262591072784016,0.09230938461334784,3.7732415440645717,5.458800901004368,13.68260029985322,0.0
