offset_level_ms,trial,num_poses,runtime_ms,success,nfev,method,camera_name,translation_error_mm,rotation_error_deg,estimated_time_offset_ms,true_time_offset_ms,time_offset_abs_error_ms,mean_target_error_mm,mean_cross_camera_target_disagreement_mm
0,0,24,9.974724998755846,True,0,PARK_ZERO_OFFSET,upper_arm_camera,0.3004355899928845,0.034842693398141396,0.0,0.0,0.0,1.5206962615350603,1.915898650449424
0,0,24,9.974724998755846,True,0,PARK_ZERO_OFFSET,forearm_camera,0.30337637910095616,0.02814289491040458,0.0,0.0,0.0,1.0186238443705766,1.915898650449424
0,0,24,9.974724998755846,True,0,PARK_ZERO_OFFSET,wrist_camera,0.13503897012094343,0.025069743205426834,0.0,-0.0,0.0,1.3095039179589643,1.915898650449424
0,0,24,2187.5617370005784,True,94,TIME_AWARE_PARK,upper_arm_camera,0.2910362272177674,0.03501100438799264,0.09334339349229362,0.0,0.09334339349229362,1.5481817212475635,1.9276967867397705
0,0,24,2187.5617370005784,True,94,TIME_AWARE_PARK,forearm_camera,0.33685407229252456,0.029587609088344475,0.21050814622480374,0.0,0.21050814622480374,1.0593485036066057,1.9276967867397705
0,0,24,2187.5617370005784,True,94,TIME_AWARE_PARK,wrist_camera,0.13004608651887986,0.025171403692567807,0.0626753907230817,-0.0,0.0626753907230817,1.3121687145590808,1.9276967867397705
0,1,24,10.101947000293876,True,0,PARK_ZERO_OFFSET,upper_arm_camera,0.06510409969162591,0.03775233983981103,0.0,0.0,0.0,1.151247875552677,1.5550564861213694
0,1,24,10.101947000293876,True,0,PARK_ZERO_OFFSET,forearm_camera,0.16485836520898606,0.006728078808710529,0.0,0.0,0.0,0.7574679066164872,1.5550564861213694
0,1,24,10.101947000293876,True,0,PARK_ZERO_OFFSET,wrist_camera,0.34403493015303555,0.022180475920671194,0.0,-0.0,0.0,1.088078473179786,1.5550564861213694
0,1,24,2060.5790070003422,True,87,TIME_AWARE_PARK,upper_arm_camera,0.011140974977494358,0.02548673178484519,-0.29838486659877217,0.0,0.29838486659877217,1.0325195027197343,1.4821505279842873
