method,role,parent,psnr,ssim,lpips,foreground_psnr,chamfer_mm,relative_chamfer_improvement,decision
PGSR,third-party control,,20.25764274597168,0.7209587097167969,0.23723351955413818,21.619516932080824,3.286727867144559,,reference
MILo,third-party control,,20.564980915614537,0.7382783464023045,0.21575761905738286,20.78726573422315,2.4307182274122807,,reference
TSGS,third-party reproduction,,23.479928970336914,0.9148602485656738,0.09871653467416763,27.57374216372529,2.752283375893337,,geometry reproduction failed
RayOT,project diagnostic,PGSR,20.07136344909668,0.7054435014724731,0.25265759229660034,21.293399863512708,3.110619080378557,0.05358179742425755,reject_image
GaugeSplat,project diagnostic,PGSR,20.257080078125,0.720926821231842,0.2371930032968521,21.618500012431586,3.281277653821921,0.0016582490376281095,reject_geometry
TraceSplat,project diagnostic,MILo,20.546152659824916,0.7381255371229989,0.21577046172959463,20.777122744571585,2.4261102818419014,0.0018957135872078976,reject_geometry
TSGS_first_surface,post-hoc extraction diagnostic,TSGS,unchanged,unchanged,unchanged,unchanged,2.646054679703954,0.0385965693503139,post_hoc_extraction_diagnostic
VP0,project diagnostic,2DGS,,,,,,,do_not_scale
